PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
-13,-53.4604,233.172,1400,5.25709,2.31513,0.875824
13,295.072,353.511,1400,0.580661,2.22408,2.4437
-13,-135.125,-232.481,1400,0.42765,2.15504,1.23987
-13,-354.812,449.071,1400,0.175783,2.57248,5.82946
-13,160.99,-232.607,1400,2.70258,2.74037,5.18495
13,-93.7337,-348.156,1400,0.374701,2.81371,6.19964
13,-6.26068,18.9404,1400,7.08296,2.93681,2.39006
13,406.494,-22.759,1400,1.86545,2.04154,5.52707
13,-247.76,-45.8578,1400,5.05312,2.32667,2.84049
13,63.5329,-437.531,1400,2.90773,2.58464,3.15611
-13,166.39,-28.7677,1400,0.45729,2.70548,3.98051
13,469.715,-367.248,1400,7.88483,2.40141,1.84967
13,-280.29,167.758,1400,0.440016,2.98709,0.39692
13,-148.825,112.154,1400,1.2728,2.41201,4.47111
13,-245.227,-254.316,1400,2.46221,2.35058,0.468633
13,-397.766,349.083,1400,40.1069,2.91774,2.51545
-13,482.994,-471.481,1400,0.607982,2.2883,2.23743
-13,117.832,84.9345,1400,0.538209,2.36749,0.875753
-13,-140.446,471.874,1400,0.537922,2.64281,0.378789
-13,-138.268,-491.434,1400,6.08867,2.5681,3.74348
13,126.43,138.306,1400,11.9098,2.01793,0.538721
13,-417.523,-320.927,1400,12.7404,1.8894,3.71678
13,454.406,230.666,1400,0.691564,2.59132,2.49826
-13,-301.223,-336.24,1400,18.1785,2.71715,4.10721
13,487.894,-300.749,1400,1.57475,2.68938,4.49304
13,276.148,-232.731,1400,10.3664,2.35569,3.25528
-13,368.28,95.4092,1400,6.10281,2.16755,2.81956
13,-211.753,157.812,1400,1.3307,2.17392,4.90012
-13,-453.365,-220.618,1400,0.0865101,2.69603,2.24309
-13,-111.314,192.642,1400,2.61143,2.63774,2.01949
-13,494.18,-238.064,1400,0.547613,2.38868,4.90655
-13,-221.049,-440.631,1400,4.49675,2.78702,1.94491
-13,388.243,-322.387,1400,6.7977,2.34364,5.0445
-13,348.602,311.984,1400,1.00044,2.39676,2.45404
13,122.736,80.5356,1400,0.782721,2.83195,2.91342
-13,-69.928,-440.739,1400,2.50506,2.40327,0.575092
13,315.178,319.843,1400,5.62188,2.45851,5.8751
13,-235.833,448.717,1400,3.70281,3.03171,3.84411
13,14.5628,-220.265,1400,2.61562,2.85159,5.68614
13,-143.117,-46.0286,1400,0.681733,2.84022,0.633338
13,280.339,5.99489,1400,1.78349,2.34712,4.02991
-13,-332.965,-189.812,1400,2.68979,2.93038,0.955473
13,151.665,-312.576,1400,6.5003,1.89227,5.86118
13,176.636,353.551,1400,2.4189,2.90667,3.753
13,265.793,297.17,1400,2.43836,2.78495,1.21674
-13,-343.706,-215.535,1400,4.16875,2.7507,6.0077
13,135.76,-268.34,1400,34.1829,2.43549,0.838052
13,156.476,499.808,1400,0.191227,2.57762,5.90974
13,318.906,-483.026,1400,6.48745,3.00221,2.71799
-13,145.861,-55.8448,1400,7.02241,2.94073,0.422417
13,303.133,-486.593,1400,0.251727,2.75944,0.855006
-13,-116.569,133.139,1400,0.1255,2.58566,2.51049
13,-76.236,-440.261,1400,1.56255,2.68984,5.66952
13,-361.215,116.78,1400,0.3787,2.45403,4.47545
13,-163.142,-117.214,1400,0.796801,2.85417,1.16339
-13,370.189,-497.646,1400,4.08502,2.45051,5.17665
-13,-27.3496,-410.142,1400,8.52714,2.6582,1.85175
13,14.0477,-333.324,1400,0.681137,2.15732,1.46401
-13,-222.538,237.862,1400,1.82546,2.41058,0.841002
13,480.429,329.577,1400,0.684084,2.85496,5.59424
13,-271.12,-406.591,1400,8.23787,2.6562,1.64693
-13,191.745,91.1391,1400,0.9672,2.82671,0.910979
13,499.362,17.9236,1400,24.2908,2.612,0.229051
13,168.09,-447.316,1400,0.183869,2.25289,5.21421
-13,-190.013,-395.498,1400,3.83444,2.83023,5.4658
13,272.128,-306.646,1400,2.9088,2.33512,1.5699
-13,-302.819,-259.84,1400,4.10953,2.67458,4.99846
13,315.104,6.05793,1400,4.79217,2.35476,0.0488329
13,-306.722,-327.836,1400,4.06202,2.09025,4.4645
-13,-263.584,-204.138,1400,2.21749,2.35802,5.52561
13,75.1899,-452.386,1400,3.05172,2.36591,0.959406
13,-62.5937,-358.582,1400,3.93951,3.0906,1.63261
-13,67.8259,169.332,1400,0.55913,2.60997,6.00466
13,-479.876,-451.946,1400,1.19444,2.4126,4.42862
-13,-395.416,-492.783,1400,1.43682,2.39015,1.06179
-13,57.232,115.269,1400,0.372288,2.28618,3.61137
13,-367.627,394.383,1400,2.46379,2.37901,0.69762
-13,446.43,-167.665,1400,1.622,2.206,0.980186
13,-229.906,444.185,1400,1.25137,2.59559,0.409106
13,457.534,215.836,1400,3.59986,2.14825,1.93416
-13,-178.962,37.1768,1400,0.275596,2.79698,1.48247
13,-403.944,490.424,1400,2.05338,2.47843,2.2019
13,-275.23,-365.73,1400,6.14755,2.60965,3.48389
-13,152.687,105.317,1400,5.23853,2.84601,1.04222
13,-416.426,492.812,1400,3.00307,2.5702,3.60819
13,-103.111,-489.192,1400,3.03389,2.18715,3.12478
-13,-3.91711,-55.4619,1400,1.29076,2.42123,4.39457
13,496.097,-364.738,1400,2.98364,2.86661,2.13907
13,-185.495,72.9036,1400,0.195541,2.56938,3.92006
13,-367.565,291.318,1400,5.85838,2.87215,3.6301
-13,-358.32,157.71,1400,2.71669,2.07451,0.463281
13,153.935,-13.9457,1400,5.06666,1.83281,0.301226
13,174.878,8.91738,1400,1.97511,2.75748,5.63135
-13,-60.1945,400,1400,0.909605,2.17289,4.68062
13,-403.944,367.185,1400,8.18792,2.46588,5.75183
13,207.141,-352.334,1400,0.319712,2.85154,0.910629
-13,147.684,322.947,1400,3.0722,2.68032,1.72249
13,459.702,192.751,1400,0.248903,2.37432,5.75238
-13,-2.56309,-295.228,1400,1.73119,2.52233,0.782757
-13,-131.755,243.778,1400,1.02087,2.59886,1.50918
-13,442.055,368.784,1400,2.10038,2.62228,1.67417
13,-236.873,-153.096,1400,5.57579,2.16564,2.97723
13,-474.151,-89.0753,1400,0.215832,2.83009,3.7087
-13,491.493,-250.658,1400,2.93611,2.65657,4.88382
-13,159.918,-330.661,1400,27.9307,2.17338,4.68098
-13,475.745,-177.299,1400,1.37629,2.94571,3.04131
-13,-239.597,-189.584,1400,1.12793,2.75739,1.52185
13,-435.148,488.652,1400,0.952255,2.34554,0.426877
13,373.015,260.923,1400,18.0126,2.24332,3.49376
13,-290.625,262.923,1400,8.43171,2.27732,2.85095
-13,164.023,222.121,1400,0.55051,2.69005,6.17877
13,-280.769,61.7432,1400,3.33496,2.70441,4.79033
13,293.836,-228.329,1400,57.3935,2.65374,4.00395
13,43.0725,-189.158,1400,12.8382,2.63095,5.61735
-13,-106.634,-403.619,1400,5.97219,2.79737,2.81212
13,-389.516,-10.602,1400,30.933,1.96522,4.87471
-13,58.9853,-103.082,1400,5.09532,2.22653,5.52327
-13,307.891,352.013,1400,4.24663,2.66226,0.0261297
13,272.896,-70.0237,1400,17.9785,2.54066,2.90251
13,101.691,184.852,1400,0.711144,2.60855,2.66309
13,-191.596,-327.563,1400,2.13324,2.45802,1.68204
13,361.124,-332.325,1400,1.98495,2.64045,3.65341
13,118.467,10.4666,1400,1.58075,2.78305,0.389513
13,-255.785,-146.999,1400,3.16395,2.49038,0.850402
13,-453.504,268.406,1400,1.88223,2.25585,2.34347
13,310.71,-77.8711,1400,9.06394,2.86681,5.27957
13,-363.02,-247.176,1400,0.813977,3.00417,3.85974
-13,374.488,349.641,1400,2.87379,2.33106,1.74244
-13,-150.814,-227.549,1400,1.56265,2.36533,5.12652
-13,359.159,-486.317,1400,3.66878,2.23588,5.9603
13,405.898,-246.834,1400,0.527559,2.72897,5.92285
-13,-131.842,306.459,1400,2.72026,2.78102,5.42258
-13,-22.8744,-71.7832,1400,1.04956,3.02461,4.81328
13,-98.6932,434.661,1400,0.631112,2.99234,5.5949
-13,413.287,229.348,1400,0.823209,2.9514,6.1159
13,211.381,344.84,1400,5.82712,1.98195,2.56162
13,-313.537,-381.326,1400,0.395151,2.87558,0.280183
13,385.635,-411.638,1400,3.35002,2.3717,0.507038
13,-45.803,-188.643,1400,10.5565,2.61794,5.17287
13,128.981,-141.979,1400,0.592983,2.94749,5.62001
13,33.1438,-80.6702,1400,3.50969,2.25763,5.34937
-13,-154.575,-488.533,1400,0.236744,2.51371,2.58763
13,135.385,272.707,1400,6.01617,3.01298,5.72927
13,-241.158,-141.647,1400,2.98519,2.64448,2.46471
13,-384.849,-155.489,1400,0.633145,2.47563,0.652416
13,-180.586,178.666,1400,8.49988,2.55832,2.83474
13,175.565,-282.706,1400,0.520229,2.66231,0.0565871
13,169.787,-463.192,1400,7.70337,2.61088,1.41248
13,-378.2,-1.68518,1400,7.66673,2.73673,3.33291
13,246.94,347.655,1400,9.99274,2.52345,4.64798
-13,-381.662,-449.526,1400,3.69334,2.9759,0.371497
13,-156.342,9.4291,1400,0.813841,2.74778,5.90255
-13,-18.0552,68.9076,1400,2.9159,2.89849,4.03153
13,218.77,-460.747,1400,5.66434,2.16486,0.0261294
13,-449.701,83.1243,1400,4.82634,2.63294,0.647426
13,-463.348,-199.265,1400,2.48815,2.56359,1.10951
-13,115.54,-270.785,1400,4.20149,2.77069,0.546228
13,-181.525,348.78,1400,0.993022,2.76334,1.53539
-13,-205.487,-188.185,1400,3.4088,2.7747,4.54439
-13,-478.639,149.639,1400,0.367445,2.56414,1.03914
13,-494.658,52.4878,1400,2.2281,2.9158,0.00604197
-13,67.5761,-306.449,1400,1.39277,2.96376,4.7352
13,-313.511,-111.347,1400,10.0522,2.67132,5.80539
13,350.122,-450.505,1400,1.20476,2.32696,6.25796
-13,352.113,320.738,1400,0.489246,2.14873,3.71967
-13,-289.236,9.84731,1400,0.508517,2.02663,5.58898
13,166.257,238.682,1400,2.78922,2.46783,4.66362
-13,427.987,213.098,1400,10.5932,2.48538,0.892466
-13,-93.9639,-416.215,1400,34.1408,2.15097,2.4685
-13,-78.8749,-469.644,1400,2.09117,2.51019,2.1461
13,429.074,-350.644,1400,6.06278,2.92711,0.480279
13,294.302,397.658,1400,0.96098,2.62722,4.4242
13,-250.894,102.89,1400,1.79977,2.87758,5.21065
-13,-283.207,-131.385,1400,8.89557,2.67979,5.53148
-13,-55.6043,389.147,1400,0.53413,2.46908,0.800203
13,292.575,342.172,1400,0.965272,2.34924,3.23702
-13,-359.252,346.144,1400,3.48108,2.54238,3.21068
-13,-402.826,-183.407,1400,0.751704,3.13549,3.31109
13,-287.928,411.413,1400,5.50706,2.85472,0.693458
