event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
7723,-13,187.045,215.285,1300.5,0.429703,1,4
7723,-13,186.581,214.941,1299.78,0.430921,1,4
7723,-13,154.64,191.254,1250.5,0.645371,1,3
7723,-13,122.224,167.229,1200.5,0.859834,1,2
7723,-13,89.8061,143.183,1150.5,1.07433,1,1
7723,-13,57.4009,119.114,1100.5,1.28883,1,0
7724,13,-140.779,-226.286,1300.5,0.704186,1,4
7724,13,-136.512,-318.54,1250.5,1.0545,1,3
7724,13,-132.258,-410.778,1200.5,1.40476,1,2
7725,-13,-422.539,-11.3434,1300.5,0.378607,1,4
7725,-13,-425.684,-37.3498,1250.5,0.566986,1,3
7725,-13,-428.811,-63.3467,1200.5,0.755346,1,2
7725,-13,-431.941,-89.306,1150.5,0.943649,1,1
7725,-13,-435.066,-115.263,1100.5,1.13195,1,0
7726,-13,239.362,-180.855,1300.5,0.511028,1,4
7726,-13,295.142,-194.094,1250.5,0.765682,1,3
7726,-13,351.114,-207.396,1200.5,1.01683,1,2
7726,-13,351.353,-207.453,1200.29,1.02085,1,2
7726,-13,407.076,-220.668,1150.5,1.27596,1,1
7726,-13,463.14,-233.974,1100.5,1.53136,1,0
7727,-13,415.03,78.2437,1300.5,0.526453,1,4
7727,-13,470.343,53.6147,1250.5,0.788384,1,3
7729,-13,481.425,-144.246,1300.5,1.21585,1,4
7730,13,-10.8691,-221.711,1300.5,0.351493,1,4
7730,13,-26.4978,-222.752,1250.5,0.526349,1,3
7730,13,-42.0788,-223.793,1200.5,0.700691,1,2
7730,13,-42.3489,-223.811,1199.63,0.701157,1,2
7730,13,-57.6399,-224.844,1150.5,0.875946,1,1
7730,13,-73.2218,-225.873,1100.5,1.05076,1,0
7731,-13,-162.989,436.534,1300.5,0.552996,1,4
7731,-13,-162.97,436.536,1300.49,0.558472,1,4
7731,-13,-96.8448,444.248,1250.5,0.836338,1,3
7731,-13,-30.6462,451.951,1200.5,1.11435,1,2
7731,-13,35.5817,459.639,1150.5,1.39243,1,1
7731,-13,101.894,467.363,1100.5,1.67075,1,0
7732,13,-240.893,-191.247,1300.5,0.589534,1,4
7732,13,-198.203,-132.882,1250.5,0.882822,1,3
7732,13,-155.526,-74.4968,1200.5,1.17614,1,2
7732,13,-112.841,-16.114,1150.5,1.46945,1,1
7732,13,-70.208,42.2315,1100.5,1.7626,1,0
7733,-13,-257.431,244.601,1300.5,0.379058,1,4
7733,-13,-240.924,264.25,1250.5,0.567666,1,3
7733,-13,-224.39,283.824,1200.5,0.756213,1,2
7733,-13,-207.767,303.486,1150.5,0.944955,1,1
7733,-13,-191.069,323.12,1100.5,1.13374,1,0
7734,13,174.943,6.14964,1300.5,0.582598,1,4
7734,13,130.054,61.2738,1250.5,0.87254,1,3
7734,13,85.1516,116.381,1200.5,1.16247,1,2
7734,13,40.2415,171.49,1150.5,1.44881,1,1
7734,13,39.9009,171.908,1150.12,1.45241,1,1
7734,13,-4.65025,226.579,1100.5,1.74228,1,0
7735,13,-448.355,-4.62016,1300.5,0.362286,1,4
7735,13,-446.254,-22.8606,1250.5,0.542607,1,3
7735,13,-444.099,-41.1201,1200.5,0.72296,1,2
7735,13,-441.927,-59.3333,1150.5,0.903263,1,1
7735,13,-439.66,-77.5345,1100.5,1.08357,1,0
7737,-13,81.0631,314.053,1300.5,0.351828,1,4
7737,-13,81.0327,313.905,1300.05,0.353762,1,4
7737,-13,77.6751,297.57,1250.5,0.529752,1,3
7737,-13,74.2925,281.094,1200.5,0.705732,1,2
7737,-13,70.9166,264.612,1150.5,0.881718,1,1
7737,-13,67.5341,248.135,1100.5,1.0577,1,0
7737,-13,-53.5244,-493.308,-1099.5,8.81336,0,0
7738,13,-441.883,337.064,1300.5,0.384289,1,4
7738,13,-469.069,342.351,1250.5,0.575488,1,3
7738,13,-496.245,347.622,1200.5,0.766664,1,2
7739,-13,-217.223,-29.9552,1300.5,0.354512,1,4
7739,-13,-203.532,-37.6899,1250.5,0.530871,1,3
7739,-13,-189.704,-45.3204,1200.5,0.707304,1,2
7739,-13,-175.828,-52.9314,1150.5,0.88377,1,1
7739,-13,-161.848,-60.554,1100.5,1.06034,1,0
7740,-13,-321.205,-453.824,1300.5,0.462898,1,4
7740,-13,-336.702,-466.348,1250.5,0.694963,1,3
7740,-13,-352.168,-478.536,1200.5,0.92703,1,2
7740,-13,-366.604,-490.679,1150.5,1.1582,1,1
7741,-13,-191.293,439.175,1300.5,0.343025,1,4
7741,-13,-200.637,438.262,1250.5,0.513644,1,3
7741,-13,-209.986,437.347,1200.5,0.684268,1,2
7741,-13,-219.451,436.42,1150.5,0.854966,1,1
7741,-13,-228.913,435.556,1100.5,1.02566,1,0
